Time (seconds),X-Force,Y-Force,Z-Force,AbsoluteForce
14.09,112,64,-992,1000
14.12,128,48,-992,1001
14.14,112,64,-960,968
14.17,128,64,-960,970
14.19,112,48,-976,983
14.21,96,32,-976,981
14.26,96,32,-992,997
14.28,128,32,-976,984
14.31,112,64,-976,984
14.33,112,48,-976,983
14.36,112,64,-976,984
14.38,96,64,-976,982
14.41,128,48,-992,1001
14.43,112,48,-976,983
14.45,112,48,-992,999
14.48,112,48,-960,967
14.50,112,48,-960,967
14.53,112,48,-976,983
14.57,128,48,-960,969
14.59,128,48,-960,969
14.62,112,48,-960,967
14.64,96,48,-992,997
14.67,112,48,-976,983
14.69,128,32,-960,969
14.71,112,64,-976,984
14.74,96,64,-976,982
14.76,112,32,-960,967
14.79,128,32,-976,984
14.81,112,64,-960,968
14.83,112,64,-976,984
14.88,112,48,-944,951
14.90,96,32,-976,981
14.93,112,48,-960,967
14.95,112,64,-960,968
14.98,128,48,-944,953
15.00,112,48,-976,983
15.03,96,48,-976,981
15.05,96,48,-976,981
15.07,128,64,-976,986
15.10,128,48,-960,969
15.12,96,48,-976,981
15.17,112,48,-976,983
15.19,112,64,-976,984
15.21,128,48,-992,1001
15.24,112,64,-976,984
15.26,112,48,-976,983
15.29,112,48,-960,967
15.31,128,48,-976,985
15.33,128,48,-976,985
15.36,128,64,-976,986
15.38,112,64,-960,968
15.41,128,64,-976,986
15.43,128,48,-976,985
15.47,128,48,-976,985
15.50,112,48,-976,983
15.52,144,48,-976,987
15.55,144,48,-976,987
15.57,128,64,-976,986
15.59,112,48,-976,983
15.62,96,48,-976,981
15.65,112,48,-976,983
15.67,96,48,-992,997
15.69,112,48,-976,983
15.72,112,48,-976,983
15.74,128,48,-960,969
15.89,112,32,-992,998
15.91,112,64,-976,984
15.94,112,48,-976,983
15.96,96,48,-976,981
15.99,128,64,-992,1002
16.01,112,48,-976,983
16.03,128,64,-976,986
16.06,96,48,-992,997
16.08,128,48,-976,985
16.11,112,48,-976,983
16.13,96,64,-976,982
16.16,112,64,-976,984
16.19,96,48,-992,997
16.22,112,32,-992,998
16.24,112,48,-976,983
16.27,112,48,-992,999
16.29,112,48,-976,983
16.31,96,48,-976,981
16.34,112,64,-976,984
16.36,128,64,-976,986
16.39,128,48,-992,1001
16.41,128,48,-976,985
16.44,128,64,-992,1002
16.48,128,48,-960,969
16.51,112,48,-976,983
16.53,112,64,-976,984
16.55,144,64,-976,988
16.58,96,48,-976,981
16.60,128,80,-976,987
16.63,96,80,-992,999
16.65,128,64,-976,986
16.67,96,64,-992,998
16.70,112,80,-960,969
16.72,112,80,-992,1001
16.75,112,48,-992,999
16.79,112,80,-992,1001
16.81,96,48,-976,981
16.84,96,48,-992,997
16.86,128,48,-992,1001
16.89,112,48,-992,999
16.91,112,48,-976,983
16.93,128,32,-976,984
16.96,128,64,-976,986
16.98,112,48,-976,983
17.01,128,64,-976,986
17.03,96,64,-1008,1014
17.08,112,48,-976,983
17.10,112,48,-976,983
17.13,96,48,-992,997
17.15,96,48,-960,965
17.17,96,48,-976,981
17.20,112,48,-976,983
17.22,128,64,-976,986
17.25,160,48,-992,1005
17.27,112,64,-976,984
17.29,112,48,-976,983
17.32,112,48,-976,983
17.34,128,64,-960,970
17.39,112,64,-976,984
17.41,112,64,-992,1000
17.43,112,48,-976,983
17.46,96,80,-992,999
17.48,112,48,-992,999
17.51,112,64,-976,984
17.53,128,48,-976,985
17.55,112,32,-1008,1014
17.58,112,48,-992,999
17.60,96,48,-992,997
17.63,80,64,-976,981
17.65,128,64,-976,986
17.70,112,48,-976,983
17.72,96,48,-992,997
17.75,112,64,-976,984
17.77,96,48,-976,981
17.79,96,48,-960,965
17.82,112,48,-976,983
17.84,128,48,-992,1001
17.87,128,64,-976,986
17.89,128,48,-976,985
17.91,112,48,-976,983
17.94,128,48,-976,985
17.96,112,64,-976,984
18.01,96,64,-976,982
18.03,128,80,-976,987
18.05,128,32,-960,969
18.08,128,32,-992,1000
18.10,96,48,-960,965
18.13,112,64,-976,984
18.15,112,48,-992,999
18.17,112,64,-976,984
18.20,128,64,-992,1002
18.22,96,32,-976,981
18.25,112,64,-976,984
18.29,96,32,-976,981
18.31,112,48,-992,999
